"channel","pitch","tick_on","tick_off","dur_ticks","velocity","nota_nombre","clase_pitch","fuera_escala_mayor","fuera_escala_menor","duracion_muy_corta","velocidad_anomala","intervalo_disonante"
0,79,235442,235561,119,42,"G5",7,TRUE,FALSE,FALSE,FALSE,TRUE
0,57,235681,235921,240,30,"A3",9,FALSE,FALSE,FALSE,FALSE,TRUE
0,77,235681,235801,120,45,"F5",5,TRUE,TRUE,FALSE,FALSE,FALSE
0,79,236161,236400,239,45,"G5",7,TRUE,FALSE,FALSE,FALSE,TRUE
0,69,236400,236640,240,27,"A4",9,FALSE,FALSE,FALSE,FALSE,TRUE
0,77,236400,236640,240,42,"F5",5,TRUE,TRUE,FALSE,FALSE,FALSE
0,76,236880,237120,240,40,"E5",4,FALSE,FALSE,FALSE,FALSE,TRUE
0,58,237120,237361,241,32,"A#3",10,TRUE,TRUE,FALSE,FALSE,TRUE
0,65,237361,237600,239,26,"F4",5,TRUE,TRUE,FALSE,FALSE,FALSE
0,74,237361,237600,239,42,"D5",2,TRUE,FALSE,FALSE,FALSE,TRUE
0,64,237600,237840,240,29,"E4",4,FALSE,FALSE,FALSE,FALSE,TRUE
0,62,237840,238081,241,26,"D4",2,TRUE,FALSE,FALSE,FALSE,TRUE
0,80,237840,238081,241,46,"G#5",8,FALSE,TRUE,FALSE,FALSE,TRUE
0,57,238081,238320,239,33,"A3",9,FALSE,FALSE,FALSE,FALSE,TRUE
0,80,238081,239040,959,49,"G#5",8,FALSE,TRUE,FALSE,FALSE,TRUE
0,62,238320,238560,240,22,"D4",2,TRUE,FALSE,FALSE,TRUE,TRUE
0,65,238560,238802,242,28,"F4",5,TRUE,TRUE,FALSE,FALSE,FALSE
0,62,238802,239040,238,24,"D4",2,TRUE,FALSE,FALSE,TRUE,FALSE
0,57,239040,239280,240,24,"A3",9,FALSE,FALSE,FALSE,TRUE,FALSE
0,55,239280,239400,120,53,"G3",7,TRUE,FALSE,FALSE,FALSE,TRUE
0,42,239520,239640,120,48,"F#2",6,FALSE,FALSE,FALSE,FALSE,TRUE
0,81,240120,240241,121,44,"A5",9,FALSE,FALSE,FALSE,FALSE,TRUE
0,80,240241,240360,119,47,"G#5",8,FALSE,TRUE,FALSE,FALSE,TRUE
0,81,240360,240480,120,43,"A5",9,FALSE,FALSE,FALSE,FALSE,TRUE
0,74,240720,240840,120,49,"D5",2,TRUE,FALSE,FALSE,FALSE,TRUE
0,80,240720,240840,120,53,"G#5",8,FALSE,TRUE,FALSE,FALSE,TRUE
