"channel","pitch","tick_on","tick_off","dur_ticks","velocity"
0,62,61440,61561,121,35
0,62,61921,62040,119,35
0,62,62400,62521,121,30
0,62,62880,63002,122,34
0,62,66841,66960,119,39
0,62,67080,67200,120,39
0,62,71761,71881,120,35
0,62,72001,72240,239,39
0,62,72960,73920,960,45
0,62,75841,76320,479,37
0,62,78961,79201,240,32
0,62,79442,79680,238,33
0,62,79920,80162,242,32
0,62,80640,81121,481,42
0,62,81601,82080,479,37
0,62,84721,84961,240,32
0,62,85202,85440,238,33
0,62,85680,85922,242,32
0,62,86400,86521,121,37
0,62,86880,87000,120,35
0,62,87360,87480,120,36
0,62,87842,87961,119,35
0,62,89880,90014,134,40
0,62,92400,92520,120,29
0,62,92880,93000,120,29
0,62,94080,94560,480,44
0,62,106321,106561,240,27
0,62,108001,108240,239,32
0,62,109200,109440,240,28
0,62,114000,114240,240,27
0,62,115680,115920,240,32
0,62,117601,118080,479,30
0,62,123840,123961,121,47
0,62,124080,124200,120,41
0,62,124320,124440,120,49
0,62,124561,124680,119,41
0,62,125760,125881,121,47
0,62,126001,126120,119,41
0,62,126241,126360,119,49
0,62,126481,126601,120,41
0,62,128640,128761,121,35
0,62,129121,129240,119,35
0,62,129600,129721,121,30
0,62,130080,130202,122,34
0,62,134041,134160,119,39
0,62,134280,134400,120,39
0,62,136320,136440,120,35
0,62,136800,136920,120,35
0,62,137280,137402,122,30
0,62,137760,137880,120,34
0,62,141720,141842,122,39
0,62,141961,142080,119,39
0,62,146640,146760,120,35
0,62,146881,147121,240,39
0,62,147840,148801,961,45
0,62,165120,165361,241,47
0,62,172921,173040,119,36
0,62,173160,173280,120,35
0,62,173400,173521,121,36
0,62,173641,173760,119,35
0,62,173880,174000,120,36
0,62,174121,174241,120,35
0,62,174361,174480,119,36
0,62,174600,174720,120,35
0,62,175801,175920,119,39
0,62,176040,176162,122,38
0,62,176280,176401,121,39
0,62,176520,176640,120,38
0,62,177841,177960,119,34
0,62,178080,178321,241,39
0,62,179520,180001,481,35
0,62,180480,181440,960,57
0,62,181440,181921,481,51
0,62,192120,192240,120,34
0,62,192361,192481,120,29
0,62,200401,200520,119,48
0,62,200641,201120,479,52
0,62,201360,201480,120,47
0,62,201602,202080,478,51
0,62,202320,202441,121,46
0,62,202560,202680,120,50
0,62,202801,202921,120,46
0,62,203040,203160,120,46
0,62,208321,208800,479,62
0,62,209280,209761,481,62
0,62,212160,212280,120,66
0,62,212642,212761,119,66
0,62,224640,224880,240,30
0,62,226080,226320,240,29
0,62,229440,229681,241,34
0,62,230160,230400,240,26
0,62,230641,230881,240,27
0,62,231122,231360,238,27
0,62,232320,232560,240,34
0,62,233761,234001,240,29
0,62,236161,236400,239,34
0,62,237840,238081,241,26
0,62,238320,238560,240,22
0,62,238802,239040,238,24
0,62,242641,242760,119,49
0,62,243121,243241,120,48
0,62,243840,243960,120,52
0,62,249120,249240,120,35
0,62,249360,249480,120,31
0,62,252961,253080,119,45
0,62,253200,253320,120,40
0,62,254640,254762,122,41
0,62,255361,255481,120,48
0,62,255600,255721,121,36
0,62,255960,256080,120,29
0,62,256200,256320,120,29
0,62,256440,256561,121,30
0,62,256680,256800,120,30
0,62,256920,257040,120,31
0,62,257160,257281,121,31
0,62,257400,257520,120,30
0,62,257640,257761,121,30
0,62,257881,258000,119,30
0,62,258120,258240,120,30
0,62,258361,258480,119,32
